"","date_use","total_cases","new_case","avg_cases","total_deaths","new_deaths","avg_deaths"
"1",2020-12-29,718510,278,7077,9520,0,40
"2",2020-12-28,718232,6299,9469,9520,7,54
"3",2020-12-27,711933,5390,10857,9513,37,68
"4",2020-12-26,706543,12417,10898,9476,65,77
"5",2020-12-25,694126,2011,10751,9411,45,81
"6",2020-12-24,692115,6931,12532,9366,60,90
"7",2020-12-23,685184,16211,13673,9306,64,96
"8",2020-12-22,668973,17024,13422,9242,98,101
"9",2020-12-21,651949,16018,13231,9144,110,99
"10",2020-12-20,635931,5673,13132,9034,96,97
"11",2020-12-19,630258,11390,13122,8938,96,98
"12",2020-12-18,618868,14474,12996,8842,109,95
"13",2020-12-17,604394,14924,12753,8733,98,92
"14",2020-12-16,589470,14451,12451,8635,98,89
"15",2020-12-15,575019,15689,12155,8537,87,83
"16",2020-12-14,559330,15321,11718,8450,97,79
"17",2020-12-13,544009,5608,11338,8353,102,76
"18",2020-12-12,538401,10503,11316,8251,75,70
"19",2020-12-11,527898,12774,11063,8176,87,67
"20",2020-12-10,515124,12812,10728,8089,78,62
"21",2020-12-09,502312,12376,10360,8011,58,61
"22",2020-12-08,489936,12631,10059,7953,54,59
"23",2020-12-07,477305,12661,9853,7899,81,58
"24",2020-12-06,464644,5458,9615,7818,55,52
"25",2020-12-05,459186,8728,9352,7763,59,49
"26",2020-12-04,450458,10429,8963,7704,51,47
"27",2020-12-03,440029,10235,8137,7653,66,45
"28",2020-12-02,429794,10268,6942,7587,46,39
"29",2020-12-01,419526,11193,6388,7541,46,38
"30",2020-11-30,408333,10996,5619,7495,44,37
"31",2020-11-29,397337,3615,4815,7451,34,36
"32",2020-11-28,393722,6002,4643,7417,42,36
"33",2020-11-27,387720,4653,4278,7375,34,34
"34",2020-11-26,383067,1869,4329,7341,29,32
"35",2020-11-25,381198,6386,4711,7312,38,34
"36",2020-11-24,374812,5814,4532,7274,35,31
"37",2020-11-23,368998,5364,4435,7239,39,31
"38",2020-11-22,363634,2415,4356,7200,34,29
"39",2020-11-21,361219,3446,4279,7166,31,27
"40",2020-11-20,357773,5009,4167,7135,21,25
"41",2020-11-19,352764,4545,3938,7114,37,26
"42",2020-11-18,348219,5131,3753,7077,21,23
"43",2020-11-17,343088,5135,3490,7056,37,22
"44",2020-11-16,337953,4814,3208,7019,23,19
"45",2020-11-15,333139,1876,2982,6996,22,18
"46",2020-11-14,331263,2659,2875,6974,17,17
"47",2020-11-13,328604,3405,2774,6957,23,16
"48",2020-11-12,325199,3249,2632,6934,19,15
"49",2020-11-11,321950,3290,2531,6915,15,14
"50",2020-11-10,318660,3160,2416,6900,16,13
"51",2020-11-09,315500,3232,2246,6884,15,13
"52",2020-11-08,312268,1131,2059,6869,13,12
"53",2020-11-07,311137,1948,2011,6856,11,13
"54",2020-11-06,309189,2416,1895,6845,18,13
"55",2020-11-05,306773,2540,1742,6827,9,12
"56",2020-11-04,304233,2487,1565,6818,10,13
"57",2020-11-03,301746,1968,1383,6808,13,14
"58",2020-11-02,299778,1921,1289,6795,12,14
"59",2020-11-01,297857,798,1225,6783,18,14
"60",2020-10-31,297059,1138,1219,6765,13,14
"61",2020-10-30,295921,1345,1211,6752,9,14
"62",2020-10-29,294576,1299,1243,6743,17,16
"63",2020-10-28,293277,1213,1296,6726,13,15
"64",2020-10-27,292064,1310,1365,6713,17,15
"65",2020-10-26,290754,1475,1414,6696,13,15
"66",2020-10-25,289279,755,1465,6683,16,15
"67",2020-10-24,288524,1081,1449,6667,14,14
"68",2020-10-23,287443,1569,1442,6653,19,14
"69",2020-10-22,285874,1672,1410,6634,14,14
"70",2020-10-21,284202,1696,1368,6620,14,14
"71",2020-10-20,282506,1651,1317,6606,14,14
"72",2020-10-19,280855,1830,1257,6592,16,15
"73",2020-10-18,279025,643,1213,6576,9,15
"74",2020-10-17,278382,1034,1193,6567,12,16
"75",2020-10-16,277348,1343,1194,6555,19,16
"76",2020-10-15,276005,1380,1180,6536,14,14
"77",2020-10-14,274625,1339,1156,6522,17,15
"78",2020-10-13,273286,1227,1154,6505,19,16
"79",2020-10-12,272059,1528,1108,6486,15,15
"80",2020-10-11,270531,499,1048,6471,16,15
"81",2020-10-10,270032,1042,1048,6455,9,15
"82",2020-10-09,268990,1245,1024,6446,10,16
"83",2020-10-08,267745,1215,1003,6436,22,16
"84",2020-10-07,266530,1320,999,6414,19,15
"85",2020-10-06,265210,904,988,6395,16,14
"86",2020-10-05,264306,1109,1025,6379,14,13
"87",2020-10-04,263197,504,1026,6365,18,14
"88",2020-10-03,262693,872,1025,6347,12,14
"89",2020-10-02,261821,1096,1004,6335,11,15
"90",2020-10-01,260725,1190,1001,6324,13,16
"91",2020-09-30,259535,1239,1000,6311,14,17
"92",2020-09-29,258296,1167,989,6297,9,19
"93",2020-09-28,257129,1115,978,6288,20,20
"94",2020-09-27,256014,496,996,6268,18,19
"95",2020-09-26,255518,727,989,6250,20,19
"96",2020-09-25,254791,1072,986,6230,17,18
"97",2020-09-24,253719,1187,968,6213,19,18
"98",2020-09-23,252532,1157,950,6194,27,18
"99",2020-09-22,251375,1095,950,6167,18,17
"100",2020-09-21,250280,1238,930,6149,15,17
"101",2020-09-20,249042,449,918,6134,15,17
"102",2020-09-19,248593,703,898,6119,16,18
"103",2020-09-18,247890,948,887,6103,15,18
"104",2020-09-17,246942,1059,891,6088,18,20
"105",2020-09-16,245883,1156,872,6070,20,21
"106",2020-09-15,244727,960,854,6050,20,22
"107",2020-09-14,243767,1150,881,6030,18,23
"108",2020-09-13,242617,307,771,6012,19,24
"109",2020-09-12,242310,630,780,5993,19,25
"110",2020-09-11,241680,977,754,5974,25,25
"111",2020-09-10,240703,926,753,5949,25,26
"112",2020-09-09,239777,1029,766,5924,27,26
"113",2020-09-08,238748,1148,792,5897,28,25
"114",2020-09-07,237600,377,783,5869,26,25
"115",2020-09-06,237223,373,905,5843,22,25
"116",2020-09-05,236850,451,910,5821,22,27
"117",2020-09-04,236399,965,965,5799,30,29
"118",2020-09-03,235434,1019,978,5769,24,28
"119",2020-09-02,234415,1214,1001,5745,23,29
"120",2020-09-01,233201,1082,1027,5722,28,29
"121",2020-08-31,232119,1229,1051,5694,29,30
"122",2020-08-30,230890,411,1093,5665,33,29
"123",2020-08-29,230479,833,1106,5632,34,29
"124",2020-08-28,229646,1055,1114,5598,22,29
"125",2020-08-27,228591,1183,1150,5576,31,30
"126",2020-08-26,227408,1393,1171,5545,28,31
"127",2020-08-25,226015,1250,1174,5517,30,33
"128",2020-08-24,224765,1529,1205,5487,25,33
"129",2020-08-23,223236,499,1204,5462,30,35
"130",2020-08-22,222737,889,1210,5432,37,36
"131",2020-08-21,221848,1309,1238,5395,32,35
"132",2020-08-20,220539,1331,1254,5363,37,35
"133",2020-08-19,219208,1414,1279,5326,41,35
"134",2020-08-18,217794,1466,1310,5285,29,33
"135",2020-08-17,216328,1520,1339,5256,39,35
"136",2020-08-16,214808,540,1414,5217,36,36
"137",2020-08-15,214268,1086,1429,5181,32,36
"138",2020-08-14,213182,1423,1457,5149,34,37
"139",2020-08-13,211759,1507,1522,5115,31,37
"140",2020-08-12,210252,1631,1571,5084,32,37
"141",2020-08-11,208621,1665,1626,5052,43,38
"142",2020-08-10,206956,2044,1700,5009,43,38
"143",2020-08-09,204912,645,1719,4966,40,38
"144",2020-08-08,204267,1285,1731,4926,35,38
"145",2020-08-07,202982,1876,1780,4891,33,40
"146",2020-08-06,201106,1853,1816,4858,36,40
"147",2020-08-05,199253,2012,1874,4822,34,41
"148",2020-08-04,197241,2188,1920,4788,47,42
"149",2020-08-03,195053,2172,1974,4741,41,40
"150",2020-08-02,192881,733,2035,4700,40,40
"151",2020-08-01,192148,1629,2043,4660,46,40
"152",2020-07-31,190519,2125,2101,4614,38,40
"153",2020-07-30,188394,2259,2155,4576,41,40
"154",2020-07-29,186135,2335,2204,4535,39,40
"155",2020-07-28,183800,2563,2299,4496,32,42
"156",2020-07-27,181237,2600,2393,4464,42,44
"157",2020-07-26,178637,792,2508,4422,44,43
"158",2020-07-25,177845,2030,2545,4378,46,42
"159",2020-07-24,175815,2504,2591,4332,39,40
"160",2020-07-23,173311,2604,2702,4293,38,40
"161",2020-07-22,170707,2997,2816,4255,50,41
"162",2020-07-21,167710,3225,2821,4205,46,39
"163",2020-07-20,164485,3401,2844,4159,41,39
"164",2020-07-19,161084,1057,2866,4118,37,41
"165",2020-07-18,160027,2350,2892,4081,32,40
"166",2020-07-17,157677,3279,2908,4049,36,40
"167",2020-07-16,154398,3401,2908,4013,43,41
"168",2020-07-15,150997,3035,2901,3970,37,39
"169",2020-07-14,147962,3383,2951,3933,47,39
"170",2020-07-13,144579,3555,2962,3886,55,37
"171",2020-07-12,141024,1238,2842,3831,29,34
"172",2020-07-11,139786,2464,2833,3802,33,35
"173",2020-07-10,137322,3281,2610,3769,40,35
"174",2020-07-09,134041,3349,2357,3729,32,34
"175",2020-07-08,130692,3389,2342,3697,35,35
"176",2020-07-07,127303,3456,2347,3662,33,34
"177",2020-07-06,123847,2714,2288,3629,35,35
"178",2020-07-05,121133,1181,2322,3594,39,34
"179",2020-07-04,119952,903,2311,3555,28,34
"180",2020-07-03,119049,1508,2474,3527,33,34
"181",2020-07-02,117541,3243,2665,3494,41,34
"182",2020-07-01,114298,3424,2619,3453,29,31
"183",2020-06-30,110874,3045,2509,3424,38,33
"184",2020-06-29,107829,2953,2421,3386,32,30
"185",2020-06-28,104876,1098,2315,3354,40,30
"186",2020-06-27,103778,2048,2293,3314,24,28
"187",2020-06-26,101730,2847,2215,3290,31,31
"188",2020-06-25,98883,2918,2065,3259,26,31
"189",2020-06-24,95965,2654,1909,3233,37,32
"190",2020-06-23,93311,2430,1803,3196,21,32
"191",2020-06-22,90881,2210,1721,3175,30,32
"192",2020-06-21,88671,947,1693,3145,30,33
"193",2020-06-20,87724,1496,1680,3115,39,33
"194",2020-06-19,86228,1799,1646,3076,35,31
"195",2020-06-18,84429,1826,1603,3041,29,30
"196",2020-06-17,82603,1915,1543,3012,40,29
"197",2020-06-16,80688,1857,1486,2972,24,27
"198",2020-06-15,78831,2008,1412,2948,32,29
"199",2020-06-14,76823,856,1348,2916,29,30
"200",2020-06-13,75967,1259,1325,2887,28,31
"201",2020-06-12,74708,1498,1300,2859,29,32
"202",2020-06-11,73210,1411,1283,2830,24,34
"203",2020-06-10,71799,1510,1302,2806,26,37
"204",2020-06-09,70289,1340,1277,2780,36,39
"205",2020-06-08,68949,1562,1286,2744,39,38
"206",2020-06-07,67387,696,1235,2705,35,38
"207",2020-06-06,66691,1080,1205,2670,35,37
"208",2020-06-05,65611,1383,1182,2635,40,38
"209",2020-06-04,64228,1543,1197,2595,45,37
"210",2020-06-03,62685,1336,1158,2550,45,35
"211",2020-06-02,61349,1403,1165,2505,30,35
"212",2020-06-01,59946,1203,1204,2475,37,37
"213",2020-05-31,58743,487,1167,2438,30,35
"214",2020-05-30,58256,919,1170,2408,37,36
"215",2020-05-29,57337,1490,1145,2371,33,36
"216",2020-05-28,55847,1265,1071,2338,32,37
"217",2020-05-27,54582,1385,1025,2306,47,37
"218",2020-05-26,53197,1682,993,2259,40,34
"219",2020-05-25,51515,942,889,2219,28,35
"220",2020-05-24,50573,508,921,2191,38,38
"221",2020-05-23,50065,743,927,2153,34,38
"222",2020-05-22,49322,971,929,2119,43,40
"223",2020-05-21,48351,947,950,2076,27,40
"224",2020-05-20,47404,1156,993,2049,29,41
"225",2020-05-19,46248,958,964,2020,47,42
"226",2020-05-18,45290,1163,983,1973,45,43
"227",2020-05-17,44127,548,986,1928,38,40
"228",2020-05-16,43579,757,991,1890,52,39
"229",2020-05-15,42822,1121,983,1838,43,39
"230",2020-05-14,41701,1250,966,1795,31,40
"231",2020-05-13,40451,950,923,1764,41,43
"232",2020-05-12,39501,1095,930,1723,48,44
"233",2020-05-11,38406,1180,954,1675,28,43
"234",2020-05-10,37226,587,918,1647,32,45
"235",2020-05-09,36639,699,902,1615,50,47
"236",2020-05-08,35940,999,903,1565,50,47
"237",2020-05-07,34941,954,893,1515,50,45
"238",2020-05-06,33987,999,887,1465,53,44
"239",2020-05-05,32988,1257,886,1412,37,42
"240",2020-05-04,31731,933,843,1375,44,45
"241",2020-05-03,30798,474,864,1331,44,44
"242",2020-05-02,30324,707,882,1287,49,43
"243",2020-05-01,29617,924,910,1238,36,42
"244",2020-04-30,28693,917,923,1202,45,43
"245",2020-04-29,27776,992,931,1157,42,44
"246",2020-04-28,26784,956,900,1115,54,45
"247",2020-04-27,25828,1077,888,1061,37,43
"248",2020-04-26,24751,603,869,1024,41,44
"249",2020-04-25,24148,900,853,983,39,43
"250",2020-04-24,23248,1014,812,944,44,43
"251",2020-04-23,22234,972,787,900,51,43
"252",2020-04-22,21262,776,757,849,47,44
"253",2020-04-21,20486,877,767,802,40,42
"254",2020-04-20,19609,942,736,762,47,43
"255",2020-04-19,18667,491,699,715,36,42
"256",2020-04-18,18176,614,691,679,38,42
"257",2020-04-17,17562,834,671,641,39,41
"258",2020-04-16,16728,765,635,602,58,40
"259",2020-04-15,15963,847,608,544,35,37
"260",2020-04-14,15116,662,573,509,47,37
"261",2020-04-13,14454,679,579,462,42,34
"262",2020-04-12,13775,435,559,420,37,31
"263",2020-04-11,13340,476,581,383,30,29
"264",2020-04-10,12864,582,598,353,30,27
"265",2020-04-09,12282,574,627,323,35,27
"266",2020-04-08,11708,606,634,288,40,25
"267",2020-04-07,11102,701,635,248,25,22
"268",2020-04-06,10401,537,626,223,17,21
"269",2020-04-05,9864,592,637,206,23,20
"270",2020-04-04,9272,591,605,183,21,19
"271",2020-04-03,8681,789,577,162,26,17
"272",2020-04-02,7892,620,518,136,22,14
"273",2020-04-01,7272,614,483,114,19,12
"274",2020-03-31,6658,638,457,95,17,10
"275",2020-03-30,6020,616,406,78,11,8
"276",2020-03-29,5404,370,360,67,15,8
"277",2020-03-28,5034,393,343,52,8,6
"278",2020-03-27,4641,375,315,44,9,5
"279",2020-03-26,4266,374,297,35,4,4
"280",2020-03-25,3892,436,275,31,7,4
"281",2020-03-24,3456,280,239,24,3,3
"282",2020-03-23,3176,291,229,21,7,3
"283",2020-03-22,2885,252,219,14,4,2
"284",2020-03-21,2633,195,207,10,3,1
"285",2020-03-20,2438,252,200,7,3,1
"286",2020-03-19,2186,217,186,4,4,1
"287",2020-03-18,1969,187,177,0,0,0
"288",2020-03-17,1782,208,169,0,0,0
"289",2020-03-16,1574,224,153,0,0,0
"290",2020-03-15,1350,168,134,0,0,0
"291",2020-03-14,1182,144,117,0,0,0
"292",2020-03-13,1038,152,102,0,0,0
"293",2020-03-12,886,158,86,0,0,0
"294",2020-03-11,728,132,68,0,0,0
"295",2020-03-10,596,96,52,0,0,0
"296",2020-03-09,500,87,40,0,0,0
"297",2020-03-08,413,47,31,0,0,0
"298",2020-03-07,366,41,28,0,0,0
"299",2020-03-06,325,43,NA,0,0,NA
"300",2020-03-05,282,33,NA,0,0,NA
"301",2020-03-04,249,19,NA,0,0,NA
"302",2020-03-03,230,13,NA,0,0,NA
"303",2020-03-02,217,19,NA,0,0,NA
"304",2020-03-01,198,25,NA,0,0,NA
